id;name;created_date;last_modified_date;created_by;last_modified_by;active
1001;Writing & Translation;2024-10-03T10:00:00;;system;;true
1002;Digital Marketing;2024-10-03T10:00:00;;system;;true
1003;Programming & Tech;2024-10-03T10:00:00;;system;;true
1004;AI & Machine Learning;2024-10-03T10:00:00;;system;;true
1005;Data Analytics & Business Intelligence;2024-10-03T10:00:00;;system;;true
1006;Web Development;2024-10-03T10:00:00;;system;;true
1007;Mobile App Development;2024-10-03T10:00:00;;system;;true
1008;Game Development;2024-10-03T10:00:00;;system;;true
1009;Blockchain & Cryptocurrency;2024-10-03T10:00:00;;system;;true
1010;Cybersecurity;2024-10-03T10:00:00;;system;;true
1011;Graphic Design & UI/UX;2024-10-03T10:00:00;;system;;true
1012;Video & Animation;2024-10-03T10:00:00;;system;;true
1013;Music & Audio;2024-10-03T10:00:00;;system;;true
1014;Photography;2024-10-03T10:00:00;;system;;true
1015;Architecture & Interior Design;2024-10-03T10:00:00;;system;;true
1016;Product & CAD Design;2024-10-03T10:00:00;;system;;true
1017;Electrical Engineering;2024-10-03T10:00:00;;system;;true
1018;Mechanical Engineering;2024-10-03T10:00:00;;system;;true
1019;E-Commerce;2024-10-03T10:00:00;;system;;true
1020;SEO;2024-10-03T10:00:00;;system;;true
1021;Social Media Management;2024-10-03T10:00:00;;system;;true
1022;Virtual Assistance & Admin;2024-10-03T10:00:00;;system;;true
1023;Education & Tutoring;2024-10-03T10:00:00;;system;;true
1024;Career & Life Coaching;2024-10-03T10:00:00;;system;;true
1025;Health, Fitness & Nutrition;2024-10-03T10:00:00;;system;;true
1026;Fashion & Apparel Design;2024-10-03T10:00:00;;system;;true
1027;Crafts & Handmade;2024-10-03T10:00:00;;system;;true
1028;Voice Over & Performance;2024-10-03T10:00:00;;system;;true
1029;Acting & Performing Arts;2024-10-03T10:00:00;;system;;true
1030;Legal Services;2024-10-03T10:00:00;;system;;true
1031;Accounting & Finance;2024-10-03T10:00:00;;system;;true
1032;Customer Support;2024-10-03T10:00:00;;system;;true
