id;name;created_date;last_modified_date;created_by;last_modified_by;active;subcategory_id
3000;Homepage copy;2024-10-03T10:00:00;;system;;true;1500
3001;Services page copy;2024-10-03T10:00:00;;system;;true;1500
3002;Product page microcopy;2024-10-03T10:00:00;;system;;true;1500
3003;Landing page narrative;2024-10-03T10:00:00;;system;;true;1500
3004;UX microcopy & CTAs;2024-10-03T10:00:00;;system;;true;1500
3005;Thought‑leadership article;2024-10-03T10:00:00;;system;;true;1501
3006;How‑to tutorial;2024-10-03T10:00:00;;system;;true;1501
3007;Industry roundup;2024-10-03T10:00:00;;system;;true;1501
3008;Interview‑based case study;2024-10-03T10:00:00;;system;;true;1501
3009;News/trend commentary;2024-10-03T10:00:00;;system;;true;1501
3010;API reference;2024-10-03T10:00:00;;system;;true;1502
3011;Developer quickstart;2024-10-03T10:00:00;;system;;true;1502
3012;System architecture overview;2024-10-03T10:00:00;;system;;true;1502
3013;Release notes;2024-10-03T10:00:00;;system;;true;1502
3014;Knowledge base articles;2024-10-03T10:00:00;;system;;true;1502
3015;Brand story;2024-10-03T10:00:00;;system;;true;1503
3016;Ad copy concepts;2024-10-03T10:00:00;;system;;true;1503
3017;Slogans & taglines;2024-10-03T10:00:00;;system;;true;1503
3018;Email sequences;2024-10-03T10:00:00;;system;;true;1503
3019;Short narrative;2024-10-03T10:00:00;;system;;true;1503
3020;Proofreading (light);2024-10-03T10:00:00;;system;;true;1504
3021;Copyediting (medium);2024-10-03T10:00:00;;system;;true;1504
3022;Substantive editing;2024-10-03T10:00:00;;system;;true;1504
3023;Style & tone alignment;2024-10-03T10:00:00;;system;;true;1504
3024;Fact check & references;2024-10-03T10:00:00;;system;;true;1504
3025;EN↔RO website localization;2024-10-03T10:00:00;;system;;true;1505
3026;EN↔RO technical manual;2024-10-03T10:00:00;;system;;true;1505
3027;Legal contract translation;2024-10-03T10:00:00;;system;;true;1505
3028;Marketing collateral localization;2024-10-03T10:00:00;;system;;true;1505
3029;App strings & store listing;2024-10-03T10:00:00;;system;;true;1505
3030;30‑day content plan;2024-10-03T10:00:00;;system;;true;1506
3031;Campaign launch kit;2024-10-03T10:00:00;;system;;true;1506
