id;name;created_date;last_modified_date;created_by;last_modified_by;active;category_id
1500;Website Copywriting;2024-10-03T10:00:00;;system;;true;1001
1501;Blog Writing;2024-10-03T10:00:00;;system;;true;1001
1502;Technical Writing;2024-10-03T10:00:00;;system;;true;1001
1503;Creative Writing;2024-10-03T10:00:00;;system;;true;1001
1504;Proofreading & Editing;2024-10-03T10:00:00;;system;;true;1001
1505;Translation Services;2024-10-03T10:00:00;;system;;true;1001
1506;Social Media Marketing;2024-10-03T10:00:00;;system;;true;1002
1507;Paid Ads (PPC);2024-10-03T10:00:00;;system;;true;1002
1508;Email Marketing;2024-10-03T10:00:00;;system;;true;1002
1509;Content Marketing;2024-10-03T10:00:00;;system;;true;1002
1510;Affiliate Marketing;2024-10-03T10:00:00;;system;;true;1002
1511;Marketing Automation;2024-10-03T10:00:00;;system;;true;1002
1512;APIs & Integrations;2024-10-03T10:00:00;;system;;true;1003
1513;Automation Scripts;2024-10-03T10:00:00;;system;;true;1003
1514;DevOps & CI/CD;2024-10-03T10:00:00;;system;;true;1003
1515;Cloud Services;2024-10-03T10:00:00;;system;;true;1003
1516;SaaS Development;2024-10-03T10:00:00;;system;;true;1003
1517;IoT & Embedded;2024-10-03T10:00:00;;system;;true;1003
1518;Model Development;2024-10-03T10:00:00;;system;;true;1004
1519;RAG/Knowledge Bases;2024-10-03T10:00:00;;system;;true;1004
1520;AI Integrations;2024-10-03T10:00:00;;system;;true;1004
1521;Fine-Tuning & Optimization;2024-10-03T10:00:00;;system;;true;1004
1522;Computer Vision;2024-10-03T10:00:00;;system;;true;1004
1523;NLP Applications;2024-10-03T10:00:00;;system;;true;1004
1524;Dashboards & BI;2024-10-03T10:00:00;;system;;true;1005
1525;Data Cleaning;2024-10-03T10:00:00;;system;;true;1005
1526;Experiment Design (A/B);2024-10-03T10:00:00;;system;;true;1005
1527;Forecasting & Time Series;2024-10-03T10:00:00;;system;;true;1005
1528;Data Warehousing;2024-10-03T10:00:00;;system;;true;1005
1529;ETL/ELT Pipelines;2024-10-03T10:00:00;;system;;true;1005
1530;Frontend Development;2024-10-03T10:00:00;;system;;true;1006
1531;Backend Development;2024-10-03T10:00:00;;system;;true;1006
1532;Full-Stack Websites;2024-10-03T10:00:00;;system;;true;1006
1533;Site Performance & SEO;2024-10-03T10:00:00;;system;;true;1006
1534;Website Maintenance;2024-10-03T10:00:00;;system;;true;1006
1535;Web Accessibility;2024-10-03T10:00:00;;system;;true;1006
1536;iOS Development;2024-10-03T10:00:00;;system;;true;1007
1537;Android Development;2024-10-03T10:00:00;;system;;true;1007
1538;Cross-Platform (Flutter/React Native);2024-10-03T10:00:00;;system;;true;1007
1539;App Publishing & QA;2024-10-03T10:00:00;;system;;true;1007
1540;Mobile UI/UX;2024-10-03T10:00:00;;system;;true;1007
1541;App Integrations;2024-10-03T10:00:00;;system;;true;1007
1542;Unity Development;2024-10-03T10:00:00;;system;;true;1008
1543;Unreal Development;2024-10-03T10:00:00;;system;;true;1008
1544;Game Design (GDD);2024-10-03T10:00:00;;system;;true;1008
1545;Game Assets & UI;2024-10-03T10:00:00;;system;;true;1008
1546;Multiplayer/Server Setup;2024-10-03T10:00:00;;system;;true;1008
1547;AR/VR Games;2024-10-03T10:00:00;;system;;true;1008
1548;Smart Contracts;2024-10-03T10:00:00;;system;;true;1009
1549;DApps & Wallets;2024-10-03T10:00:00;;system;;true;1009
1550;NFT Platforms;2024-10-03T10:00:00;;system;;true;1009
1551;Audits & Security;2024-10-03T10:00:00;;system;;true;1009
1552;Layer-2 Solutions;2024-10-03T10:00:00;;system;;true;1009
1553;DeFi Protocols;2024-10-03T10:00:00;;system;;true;1009
1554;Security Audits;2024-10-03T10:00:00;;system;;true;1010
1555;Vulnerability Scanning;2024-10-03T10:00:00;;system;;true;1010
1556;Compliance (SOC2/ISO);2024-10-03T10:00:00;;system;;true;1010
