id;name;created_date;last_modified_date;created_by;last_modified_by;active
1;intensely;2025-10-08T22:44:04;2025-10-09T04:06:57;synthesise;save yahoo;true
2;convalesce where nudge;2025-10-09T04:03:46;2025-10-08T23:37:08;underneath consequently;galvanize chapel;false
3;disgorge outside;2025-10-09T11:01:27;2025-10-08T20:54:01;within cinch;jump bah as;true
4;oof;2025-10-09T10:54:13;2025-10-08T12:26:01;immediately yahoo;vicinity earth;false
5;below ew;2025-10-08T23:30:24;2025-10-09T05:45:29;phew;swill;false
6;meh aw willfully;2025-10-09T11:32:07;2025-10-08T12:24:45;gently through;soon;false
7;crowded yet front;2025-10-08T18:47:20;2025-10-09T07:55:43;awkwardly designation wavy;paralyse meh gee;false
8;who;2025-10-08T23:45:07;2025-10-09T04:56:22;enraged intensely;gratefully relaunch;true
9;helplessly;2025-10-09T00:44:22;2025-10-09T07:35:38;bungalow genuine onto;eventually since begonia;true
10;slake gosh against;2025-10-08T19:48:30;2025-10-09T07:33:01;boldly stiffen;daintily sweetly;false
