id;name;iso_2;iso_3;region;created_date;last_modified_date;created_by;last_modified_by;active
1;scotch tectonics;hu;fur;moral;2025-10-09T11:28:24;2025-10-09T05:07:38;within;beyond retract excluding;true
2;although yawningly equatorial;SU;ple;sushi warmhearted;2025-10-08T22:09:17;2025-10-08T22:42:19;midst wee rag;given;true
3;arraign;ti;jun;unbearably;2025-10-08T22:45:24;2025-10-08T20:09:46;singing;openly before concerning;false
4;hospitable oddly;ar;ext;excluding;2025-10-09T05:23:16;2025-10-09T07:10:34;worriedly till;tromp;true
5;spirit nautical;zo;fin;provided;2025-10-09T07:17:10;2025-10-09T10:16:46;personalise exaggerate dimly;lucky;false
6;loudly astride;sc;aba;until;2025-10-08T13:50:31;2025-10-09T07:46:06;wasabi;mortally sand;false
7;instead;ac;enc;unimpressively;2025-10-08T23:24:47;2025-10-09T01:54:10;harp upon once;onto very enormously;false
8;because courageously gracefully;lo;pas;graceful absent;2025-10-08T18:36:16;2025-10-09T02:46:08;oof basket since;fatally cleverly furthermore;true
9;or;un;mol;helpful hexagon;2025-10-08T16:38:33;2025-10-08T22:24:35;provided plus;failing throughout clueless;false
10;pace drat;hu;int;hence gleefully next;2025-10-09T05:01:25;2025-10-09T06:49:50;clinch;considering accompany gosh;false
