id;reason;opened_at;closed_at
1;save;2025-10-08T23:59:36;2025-10-08T22:28:32
2;phew;2025-10-08T17:52:37;2025-10-09T02:31:32
3;spotless;2025-10-08T21:02:35;2025-10-09T01:03:28
4;oof considering;2025-10-08T15:55:56;2025-10-09T10:47:03
5;skateboard;2025-10-08T23:45:07;2025-10-09T03:37:44
6;bowling supposing;2025-10-08T17:48:31;2025-10-08T14:13:12
7;ambitious;2025-10-09T08:16:07;2025-10-09T08:08:55
8;formamide;2025-10-08T14:36:34;2025-10-09T03:08:34
9;inasmuch for aw;2025-10-09T08:19:05;2025-10-08T15:34:37
10;sans;2025-10-09T03:01:48;2025-10-08T13:04:09
