id;status;total_amount;currency;created_date;last_modified_date;created_by;last_modified_by
1;DELIVERED;29779.57;ete;2025-10-09T09:00:02;2025-10-09T01:09:05;outbid;rival outside
2;CANCELED;72.3;mid;2025-10-09T00:20:56;2025-10-09T03:31:55;spectacles since;jealously
3;ACTIVE;22132.12;cav;2025-10-09T11:19:04;2025-10-09T04:31:42;tense;dependency hence rim
4;DELIVERED;19659.74;imp;2025-10-09T11:13:38;2025-10-08T12:21:32;for;duh keenly gah
5;DISPUTED;8842.43;rep;2025-10-09T08:10:30;2025-10-08T22:07:09;dirty sick generally;stranger
6;ACTIVE;6298.33;sav;2025-10-09T08:37:34;2025-10-09T09:53:17;funny furthermore;heartfelt culture
7;DELIVERED;15787.73;pro;2025-10-08T17:07:32;2025-10-09T03:42:17;geez far duh;worth
8;REFUNDED;3956.46;mea;2025-10-08T18:34:47;2025-10-09T11:01:36;whirlwind;fidget
9;REFUNDED;3784.33;chu;2025-10-08T14:22:17;2025-10-09T10:29:37;shadowy memorable plait;scent delete underneath
10;ACTIVE;11679.03;sur;2025-10-09T02:25:35;2025-10-08T19:30:53;manage empty as;versus
