id;name;description;rating;status;visibility;created_date;last_modified_date;created_by;last_modified_by
1;brightly;besides refute;0.76;ACTIVE;false;2025-10-08T12:43:33;2025-10-09T08:44:05;ew yum;mundane
2;concerning till;cooperative;0.41;ACTIVE;true;2025-10-09T00:16:18;2025-10-09T02:14:33;miserly;refer quarrelsomely tuba
3;that curl;ick absent;0.68;PAUSED;true;2025-10-08T17:37:03;2025-10-08T15:02:48;fooey;truthfully
4;joshingly silently;concerning;2.6;CANCELED;true;2025-10-08T12:15:33;2025-10-09T11:04:49;impartial lanky nucleotidase;wire
5;fall vaguely;quit;1.45;ACTIVE;false;2025-10-09T03:17:23;2025-10-08T22:13:36;since difficult provided;even
6;up;frugal annual;4.66;CANCELED;false;2025-10-09T05:01:24;2025-10-08T14:05:02;pish jealously;aha disposer
7;up notwithstanding honorable;considering whoa;0.98;PAUSED;true;2025-10-08T16:05:42;2025-10-09T06:46:12;before;because
8;commercial during rewrite;past;4.6;DENIED;false;2025-10-09T06:01:10;2025-10-09T00:36:25;once in-joke;brr anenst
9;ring how quaintly;weight er within;2.95;CANCELED;false;2025-10-09T04:27:04;2025-10-08T22:23:07;wrongly;skean above
10;including trolley when;mild;3.22;DENIED;true;2025-10-08T14:11:04;2025-10-09T10:27:11;yippee;till in duh
