id;name;description;price;currency;delivery_days;package_tier;active;created_date;last_modified_date;created_by;last_modified_by
1;scarcely utilized psst;eek;19487.72;ove;16752;BASIC;false;2025-10-08T22:18:58;2025-10-09T10:42:51;circulate impish commonly;psst
2;fraternise hopelessly meanwhile;what noisily;32763.62;app;20885;STANDARD;false;2025-10-08T22:13:12;2025-10-08T15:03:24;outrageous;tenant during understated
3;bide ugh sensitize;regarding utter;18923.19;upl;4139;PREMIUM;true;2025-10-08T17:16:13;2025-10-08T21:32:12;any yahoo;key or
4;slide;bewail;19160.4;off;13347;PREMIUM;false;2025-10-09T06:22:22;2025-10-08T14:04:17;unsteady;rise incidentally
5;colorfully whose;table;4481.95;con;3739;PREMIUM;false;2025-10-08T12:20:02;2025-10-09T02:29:14;thankfully obediently;during illustrious
6;minus throughout stake;well-made er round;10689.69;abo;5934;STANDARD;false;2025-10-09T06:32:15;2025-10-08T20:27:30;each stormy eke;when alliance
7;regulate;minister boohoo dissemble;15636.14;bra;29161;STANDARD;false;2025-10-09T05:39:40;2025-10-09T11:15:08;dislocate cool joshingly;gently swelter jell
8;alongside sleepily;knavishly and;26402.91;foo;28754;STANDARD;false;2025-10-08T13:31:02;2025-10-09T06:06:26;because;so kissingly
9;of trust ew;beneath;4725.56;ris;11578;STANDARD;true;2025-10-09T09:59:40;2025-10-08T16:26:51;waft;cinema whether as
10;lady gadzooks;carelessly athwart phew;15166.7;ins;12115;PREMIUM;true;2025-10-09T03:13:30;2025-10-09T11:59:03;punctuation sans exacerbate;huzzah zesty
