id;text;rating;created_date;last_modified_date;created_by;last_modified_by
1;abnormally;3.26;2025-10-08T19:38:39;2025-10-09T02:28:16;gymnast sonar;since
2;hastily of ack;2.26;2025-10-08T19:45:10;2025-10-09T02:37:03;sternly er supposing;advocate
3;concerned;2.21;2025-10-08T16:22:44;2025-10-08T22:24:09;train whoa;righteously
4;boo;4.99;2025-10-08T20:04:49;2025-10-09T03:06:34;accept until;into eventually bah
5;zowie stealthily;1.62;2025-10-08T20:48:40;2025-10-09T02:08:27;however aw;if
6;coarse consequently;3.08;2025-10-08T15:44:51;2025-10-08T18:20:48;midst oof yahoo;mockingly hello skyline
7;yahoo;2.3;2025-10-09T02:17:12;2025-10-09T09:24:22;aw and how;reorganisation wretched
8;narrate;1.51;2025-10-08T19:01:04;2025-10-09T03:44:14;aha fluctuate interchange;yet morbidity
9;athwart;1.54;2025-10-09T02:33:28;2025-10-09T08:56:48;councilman since;an failing
10;knowledgeably formal thoughtfully;3.44;2025-10-08T13:26:21;2025-10-08T13:12:38;notwithstanding oof quaintly;ah blacken unhappy
