id;text;rating;created_date;last_modified_date;created_by;last_modified_by
1;jellyfish around;2.33;2025-10-09T06:07:48;2025-10-08T16:04:35;gastropod terribly;since
2;hurtful fatherly;2.91;2025-10-08T16:54:29;2025-10-08T19:07:27;wealthy only through;per greatly meanwhile
3;when;4.69;2025-10-09T03:23:24;2025-10-08T17:36:32;keenly;outset
4;provided;4.61;2025-10-09T10:34:19;2025-10-09T10:40:57;rot powerless;lay
5;golden whenever;3.96;2025-10-09T03:54:16;2025-10-08T21:32:58;remark violently;yearningly father
6;alongside unimportant;1.72;2025-10-09T08:30:41;2025-10-08T21:28:15;why hierarchy;although passionate
7;gently whup;2.53;2025-10-08T20:34:14;2025-10-08T13:16:01;topsail;doubtfully
8;forgery wisely for;1.91;2025-10-09T00:55:44;2025-10-09T05:01:11;skyscraper hygienic venom;unto gullible mostly
9;vacation;3.42;2025-10-08T12:42:10;2025-10-09T07:24:42;before;and oh
10;unaccountably than sting;4.83;2025-10-08T16:22:21;2025-10-08T15:54:32;telescope awkwardly phooey;hydrolyze below
